"","country","continent","GHGC","UNNC","UCAC","GCCP","OR","DGCC","DOCC"
"121","Togo","Africa",1.171,7.34,0.3575,101.22,0,0,-0.801118058960098
"122","Tonga","Oceania",3.392,2.05,0.3004,96.94,0,0,-0.458263889707918
"123","Trinidad and Tobago","America",16.57,138.3,0.0338,103.76,4.01249310175546,1.52392483793111,0.419962096394286
"124","Tunisia","Africa",3.226,17.35,0.4281,115.29,1.82340394259015,0.0435799746602199,-0.492584900597292
"125","Turkmenistan","Asia",21.378,190.72,0.3418,88.95,9.57305645249406,0.650127215941034,0.244345608968634
"126","Uganda","Africa",1.655,1.23,0.213,93.68,0,0,-0.837190358547244
"127","Ukraine","Europe",5.931,41.62,0.7628,112.41,0.37233645588712,0.067308531572419,-0.638401247687571
"128","United Arab Emirates","Asia",27.333,185.28,0.0085,96.77,16.582761616989,0.732480446153439,3.12416605563805
"129","Uruguay","America",9.97,78.95,0.6351,64.7,0,0.00154203489359385,-0.251311957450487
"130","Uzbekistan","Asia",7.148,163.27,0.136,85.26,1.82646056604276,0.123132581811927,-0.747135792994575
"131","Zambia","Africa",5.373,38.58,0.2211,107.42,0,0,-0.799014549637504
"132","Zimbabwe","Africa",8.226,12.22,0.284,127.59,0,0,-0.782105894096482
