"","country","continent","CO2","UNNC","UCAC","GCCP","OR","DGCC","DOCC"
"66","Kazakhstan","Europe",17.319,2.71,1.631,112.77,15.6114651371934,0.0820581772549847,-0.101887203134303
"67","Kenya","Africa",0.351,18.77,0.1232,102.04,0.00504107702605338,0,-0.77772437949237
"68","Kuwait","Asia",23.101,178.57,0.0034,90.5,45.1216846929565,0.509703523804695,3.52581043241895
"69","Latvia","Europe",4.076,57.21,0.6757,73.01,0,0.0713942845063887,-0.090338277859912
"70","Lebanon","Asia",3.871,62.33,0.0396,110.09,0,0,0.179270112330952
"71","Libya","Africa",7.99,7.37,0.307,96.37,42.4708271366993,0.0679297512577913,0.558305900870713
"72","Lithuania","Europe",4.889,74.12,0.7679,77.61,0.0334291574853369,0.0799090768174969,0.167699549910371
"73","Luxembourg","Europe",15.835,204.76,0.1054,96.46,0,0.123714355880474,3.57034294276596
"74","Madagascar","Africa",0.159,7.97,0.1371,94.42,0.145433336368669,0,-0.851096905539045
"75","Malawi","Africa",0.086,23.18,0.2094,105.98,0,0,-0.860695194731916
"76","Malaysia","Asia",8.634,46.69,0.2628,99.01,2.88759408253797,0.117205399828724,0.0834572511528049
"77","Maldives","Asia",3.375,75.2,0.0105,89.66,0,0,0.0963410626893862
"78","Mali","Africa",0.192,15.7,0.3439,113.96,0,0,-0.83113798949701
"79","Malta","Europe",3.502,56.43,0.0236,60.99,0,0.0687494940780977,3.74253552111315
"80","Mauritius","Africa",3.562,93.78,0.0623,81.85,0,0,0.249305363899086
"81","Mexico","America",3.608,58.91,0.1791,109.51,2.27127886854115,0.0636690422359428,-0.191533473741117
"82","Mongolia","Asia",14.995,30.41,0.4203,99.48,2.33919154107498,0,-0.490169738813553
"83","Montenegro","Europe",3.823,85.99,0.0233,104.66,0,0,-0.326783066171699
"84","Morocco","Africa",1.729,22.15,0.2644,112.5,0.00185811508634421,0.00297941792906695,-0.534121080810858
"85","Mozambique","Africa",0.234,4.46,0.2017,126.14,0.105275901119442,0.00393661489283419,-0.830601377865824
"86","Myanmar","Asia",0.608,21.55,0.2344,96.57,0.212886915708654,0.00847818263129695,-0.765245422097398
"87","Namibia","Africa",1.665,25.13,0.3308,105.54,0,0,-0.41650558396741
"88","Nauru","Oceania",5.147,0,0.0375,96.7,0,0,0.625615068867508
"89","Nepal","Asia",0.487,54.72,0.0828,102.68,0,0,-0.792306061274396
"90","Netherlands","Europe",9.322,197.16,0.0621,92.03,0.0222178247378531,0.238228056183849,1.44491579601059
"91","New Zealand","Oceania",7.546,62.21,0.1242,97.57,0.0829147037653216,0.0909470177260934,0.696723697226834
"92","Nicaragua","America",0.817,26.99,0.2769,112.18,0,0,-0.649485299334028
"93","Niger","Africa",0.083,0.36,0.7938,108.88,1.64020030444725,0,-0.853680390809987
"94","Nigeria","Africa",0.653,10.52,0.2119,104.5,8.84870568166443,0.00915388145155965,-0.778515663297682
"95","Norway","Europe",8.331,126.99,0.151,70.07,5.21241127534779,0.0749168254094462,0.915616486956085
"96","Oman","Asia",12.552,94.44,0.0225,122.65,26.6782668701549,0.478364685219617,1.2280653505109
"97","Pakistan","Asia",1.123,107.87,0.1506,90.99,0.492026170782626,0.0216040992342686,-0.75116282666582
"98","Panama","America",2.569,16.99,0.1638,107.53,0,0.00445112427931561,0.775567296319193
"99","Papua New Guinea","Oceania",0.745,31.74,0.1162,94.83,2.3460751554751,0.0011019304478055,-0.66817079722355
"100","Paraguay","America",1.223,27.6,0.6932,106.92,0,0,-0.52078405897871
"101","Peru","America",1.708,41.71,0.1844,107.33,0.326773501052596,0.0230063802140747,-0.533842554159392
"102","Philippines","Asia",1.319,58.46,0.1042,97.52,0.00915416821005933,0.00326263836673042,-0.692905669389787
"103","Poland","Europe",8.887,87.49,0.2996,93.35,0.0519510025419015,0.0517466112549372,-0.108448719994992
"104","Portugal","Europe",5.021,59.02,0.1674,102.51,0,0.053602338902287,0.0897074526093531
"105","Qatar","Asia",38.44,62.5,0.0086,106.37,15.5544381427131,1.29033486013643,3.25687955184243
"106","Romania","Europe",3.979,51.35,0.4679,134.86,0.443053387963737,0.0569700360103424,-0.418316818644728
"107","Rwanda","Africa",0.093,5.39,0.1139,104.25,0,0,-0.850548203982901
"108","Samoa","Oceania",1.214,0.43,0.2414,78.95,0,0,-0.42259877661377
"109","Saudi Arabia","Asia",18.454,49.56,0.1067,130.74,29.2983608589016,0.319342111594907,3.04752667114218
"110","Senegal","Africa",0.715,11.05,0.2068,153.41,0,0.000366158402060233,-0.736502047984002
"111","Serbia","Europe",5.028,41.66,0.3167,108.46,0.528302942633086,0.0379851494111907,-0.431793972020543
"112","Seychelles","Africa",5.736,30.16,0.016,99.24,0,0,2.7528053850803
"113","South Africa","Africa",8.032,30.69,0.2148,108.56,0.0050808324285389,0.0080014720775023,-0.376612861180641
"114","Spain","Europe",5.776,61.63,0.3592,120.58,0.00190352739551264,0.0642981840538758,0.345326566951628
"115","Sri Lanka","Asia",0.989,29.02,0.1117,98.23,0,0,-0.631036940774416
"116","Sudan","Africa",0.507,7.69,0.5074,119.48,3.80539357893002,0,-0.738962598206361
"117","Suriname","America",4.365,102.66,0.1181,92.93,5.97358427767989,0,0.245337578483803
"118","Sweden","Europe",4.222,72.37,0.2552,62.16,0,0.00793610242968307,0.356044730843899
"119","Switzerland","Europe",4.324,105.23,0.0497,104.53,0,0.0400262658267505,0.243216852687882
"120","Tajikistan","Asia",1.001,7.66,0.1139,111.37,0.0912831393197168,0.000773066652799108,-0.772820739822106
"121","Thailand","Asia",3.978,68.87,0.317,105.08,0.714559342432267,0.074920378566162,-0.00234926279702874
"122","Togo","Africa",0.29,7.34,0.3575,101.22,0,0,-0.807956924676678
"123","Tonga","Oceania",1.349,2.05,0.3004,96.94,0,0,-0.464434842159577
"124","Trinidad and Tobago","America",29.122,138.3,0.0338,103.76,4.01249310175546,1.52392483793111,0.415502013572696
"125","Tunisia","Africa",2.539,17.35,0.4281,115.29,1.82340394259015,0.0435799746602199,-0.498822713715947
"126","Turkmenistan","Asia",12.04,190.72,0.3418,88.95,9.57305645249406,0.650127215941034,0.239543408150502
"127","Uganda","Africa",0.129,1.23,0.213,93.68,0,0,-0.844099496611519
"128","Ukraine","Europe",5.244,41.62,0.7628,112.41,0.37233645588712,0.067308531572419,-0.644923125231274
"129","United Arab Emirates","Asia",16.011,185.28,0.0085,96.77,16.582761616989,0.732480446153439,3.12497402511802
"130","Uruguay","America",1.905,78.95,0.6351,64.7,0,0.00154203489359385,-0.25707974741164
"131","Uzbekistan","Asia",3.533,163.27,0.136,85.26,1.82646056604276,0.123132581811927,-0.753869496007176
"132","Zambia","Africa",0.422,38.58,0.2211,107.42,0,0,-0.805849317513353
"133","Zimbabwe","Africa",0.821,12.22,0.284,127.59,0,0,-0.788907722266939
