"country","GHGC","UNNC","UCAC","GCCP","OR","DGCC","DOCC"
"Afghanistan",2.665,5.82,0.2155,87.19,0.00197574528472456,0.000398750264234478,-0.844854222125122
"Albania",3.413,35.59,0.2414,106.41,1.58530866740542,0.00144882930308716,-0.376248831033366
"Algeria",5.189,8.24,0.2017,108.85,15.6479719279686,0.102662182570686,-0.446083527104966
"Angola",4.044,4.21,0.1693,95.28,26.3342151109984,0.00268785294703156,-0.68514926338505
"Antigua and Barbuda",12.567,1.72,0.0519,86.29,0,0,1.32477950927149
"Argentina",8.915,34.44,0.7597,89.77,1.39460030263589,0.10900307022264,-0.177967462923917
"Armenia",3.185,178.53,0.171,72.8,0,0.0813612247408164,-0.75360411544432
"Australia",24.872,45.08,1.2574,99.65,0.31501827872077,0.175953119632722,1.15615864529393
"Austria",7.631,81.16,0.1568,96.52,0.0437926677567654,0.0971735275510238,0.43242927643314
"Azerbaijan",7.875,50.55,0.2365,121.7,25.3091011620029,0.102686048817119,-0.438179059847903
"Bahrain",31.189,386.69,0.0029,87.82,11.0840766774168,0.989991926178805,0.839988921120027
"Bangladesh",1.368,147.8,0.0558,104.15,0.026184197832054,0.0182645228775939,-0.83390148890596
"Barbados",13.222,28.77,0.0279,114.14,0.29419719379581,0.00685208007553527,0.745594802443317
"Belarus",7.054,69.53,0.616,91.55,0.835525727381268,0.191664910593148,-0.245866953301922
"Belgium",9.485,200,0.0761,85.29,0,0.153502989400513,1.69435151838562
"Belize",17.803,87.74,0.3185,90.07,0.645121900098164,0,-0.411117401792002
"Benin",2.448,14.14,0.296,107.29,0.130486480076081,0.000160608087534379,-0.697522903198592
"Bhutan",1.538,15.08,0.1326,85.86,0,0,-0.643901713103876
"Bosnia and Herzegovina",7.657,61.52,0.3397,132.16,0,0.00659616226739953,-0.425830683611239
"Botswana",25.487,48.34,0.1161,126.97,0,0,-0.467470114742831
"Brazil",6.782,72.33,0.3032,107.1,2.0159800649676,0.0164355471089936,-0.24366138223037
"Bulgaria",2.768,93.45,0.5149,110.98,0.0226288279568553,0.0431003611873923,-0.304412988216033
"Burkina Faso",2.783,9.22,0.311,98.82,0,0,-0.826136059108456
"Burundi",0.804,8.68,0.1387,112.96,0,0,-0.859053241693592
"Cambodia",4.255,30.5,0.2579,110.41,0,0,-0.724994289662684
"Cameroon",4.891,6,0.3073,92.24,3.01562742741433,0.00420821378125509,-0.810711352928797
"Canada",20.592,71.26,1.0482,103.39,1.78050653634303,0.32595701794312,2.05095430783132
"Central African Republic",18.659,0.05,0.4029,103.63,0,0,-0.844554344750585
"Chile",2.764,122.34,0.0897,107.83,0.0150647720762657,0.027859805076646,-0.0385909789975128
"China",8.199,208.48,0.093,102.77,0.433930309335748,0.0194678413589787,-0.443130439170128
"Colombia",5.396,49.57,0.1992,94.62,3.87765027642574,0.0216058259622777,-0.579797438060822
"Costa Rica",1.708,165.17,0.1165,101,0,0,-0.354487199919853
"Croatia",4.381,113.49,0.2108,102.71,0.329616811853371,0.0652618444428034,-0.125762249969437
"Cuba",3.424,11.24,0.3141,91.88,0.643466631284228,0.00832969457377768,-0.270430082063889
"Cyprus",7.021,59.66,0.1096,84.4,0,0,1.0467130291703
"Denmark",8.124,92.56,0.4207,74.66,0.487437286171954,0.0494657003763705,0.32272873035506
"Dominica",3.211,2.18,0.3211,97.82,0,0,-0.134262783104955
"Dominican Republic",3.529,72.76,0.1159,113.64,0,0.0115032066600527,-0.294679486226711
"Ecuador",5.376,93.43,0.1378,88.88,7.16632924901327,0.00197347956523371,-0.21125702404597
"El Salvador",2.093,61.61,0.1372,102.62,0,0,-0.533890866295475
